SessionID,politics_new,politics,dogkick,endangered,overweight,anthill,palm,cards,stealpoor,apartment,ballots,racepledge,sportsbet,flagburn,talkradio,familyshun,citizenrenounce,leaveclub,parentcurse,founderscurse,handgesture,rottentomato,fatherslap,soulsell,eatdog,tail,molesterblood,stageanimal,sex,gender,Age,education,educ_num,religion_attend,Religion_attend_num
4703,"",,8,8,8,1,8,7,8,8,8,8,7,8,8,8,7,8,8,1,1,8,1,8,8,8,1,8, M,1,39,"",,"",
5459,"",3,8,8,7,1,8,6,8,5,7,8,2,,6,8,4,6,5,1,5,3,2,4,6,7,7,7, F,0,24,"",,"",
9969,"",3,8,8,8,8,8,8,8,8,8,8,1,1,8,8,1,8,8,1,8,8,1,1,8,8,1,8, M,1,24,"",,"",
11215,"",1,8,8,8,8,8,6,8,8,8,8,5,8,8,7,6,8,8,3,5,3,6,8,8,8,7,7, F,0,30,"",,"",
12379,"",2,3,7,3,2,5,8,8,8,8,8,2,2,8,5,7,5,7,2,8,2,2,2,3,7,3,3, F,0,24,"",,"",
12546,"",3,8,8,7,1,8,7,8,4,7,8,1,8,1,1,8,1,7,8,8,1,1,8,8,7,8,6, F,0,45,"",,"",
12599,"",6,6,8,6,1,8,8,6,4,8,6,4,5,5,6,8,7,8,8,8,1,8,8,8,8,8,8, M,1,54,"",,"",
12758,"",2,8,8,4,3,8,3,8,4,8,8,1,1,4,6,1,5,6,1,3,2,1,1,8,8,1,5, M,1,30,"",,"",
16503, Liberal,2,7,7,6,3,7,7,8,4,7,6,4,2,3,7,5,6,4,2,5,2,2,7,7,8,4,5, F,0,23, Currently in Graduate/Professional Sch,, a few times a month,2
18459, Slightly Conservative,5,8,8,7,4,8,7,8,7,7,8,7,7,7,7,7,7,7,7,2,7,5,8,8,7,8,7, M,1,53, Completed College/University,6, a few times a year,1
21546, Liberal,2,8,8,8,1,8,8,8,8,8,8,1,1,1,8,1,8,8,1,1,1,1,1,7,8,1,8, M,1,59, Completed Graduate/Professional Degree,9, Never,0
24253, Liberal,2,8,8,7,5,8,6,8,4,8,8,7,5,5,8,6,1,6,4,5,5,4,7,8,8,8,6, F,0,26, Currently in College,5, a few times a year,1
24316, Moderate/middle-of-the-road,4,7,8,3,3,8,3,5,6,4,8,7,7,7,8,8,7,8,6,7,1,3,8,8,7,6,7, F,0,22, Currently in College,5, a few times a year,1
24373, Liberal,2,8,8,3,3,7,4,8,6,8,8,4,6,5,8,8,6,6,4,8,3,1,5,8,7,3,8, F,0,21, Currently in College,5, 99,
24478, Libertarian,,8,5,4,1,4,5,3,4,6,6,3,4,5,5,7,5,8,5,1,1,2,1,5,7,1,4, M,1,38, Some College/University,4, Never,0
24487, Slightly Conservative,5,6,6,1,1,1,4,7,7,1,1,1,7,7,8,8,6,8,8,7,1,1,7,6,8,1,7, M,1,20, Currently in College,5, a few times a year,1
24492, Conservative,6,8,5,7,2,5,6,6,8,3,5,5,7,7,5,7,4,5,3,5,4,6,6,6,6,,8, M,1,20, Currently in College,5, a few times a year,1
24495, Liberal,2,8,8,8,5,8,4,8,1,1,8,5,1,4,6,3,8,7,2,8,3,3,7,8,8,8,8, F,0,26, Completed College/University,6, Never,0
24497, Liberal,2,5,5,3,2,5,,7,5,8,8,3,4,5,8,8,6,8,5,3,5,3,8,8,7,8,5, M,1,44, Completed Graduate/Professional Degree,9, a few times a year,1
24498, Liberal,2,8,8,6,1,4,3,8,4,8,8,4,4,5,6,1,8,5,1,5,2,3,5,6,7,6,7, F,0,22, Currently in College,5, Never,0
24507, Slightly Liberal,3,8,8,8,5,8,8,8,8,8,8,2,8,8,8,8,8,8,7,8,8,6,1,8,8,1,7, M,1,21, Currently in College,5, Never,0
24515, Liberal,2,8,8,7,5,8,5,8,5,8,8,4,2,8,6,7,5,4,4,3,5,5,6,8,8,5,8, F,0,58, Some Graduate/Professional School,7, Never,0
24524, Don't know/not political,,8,8,8,3,8,5,8,8,8,8,8,8,8,8,7,8,8,1,8,3,1,8,8,8,8,7, M,1,19, Currently in Graduate/Professional Sch,, Never,0
24570, Liberal,2,8,8,8,1,4,3,5,4,7,8,3,2,5,8,7,6,6,3,4,1,3,6,5,7,5,5, F,0,44, Completed College/University,6, a few times a year,1
24575, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,1,1,8,8,1,8,8,1,8,8,1,1,8,8,1,8, M,1,44, Currently in Graduate/Professional Sch,, Never,0
24583, Liberal,2,8,8,8,2,8,8,8,8,8,8,1,2,8,8,7,8,8,2,8,3,3,2,4,8,5,4, M,1,27, Currently in Graduate/Professional Sch,, Never,0
24584, Very Liberal,1,7,8,8,4,7,3,8,2,8,8,1,1,1,8,1,8,8,1,1,1,1,2,8,8,1,5, M,1,23, Currently in Graduate/Professional Sch,, Never,0
24594, Slightly Liberal,3,8,7,6,3,8,6,8,5,8,8,7,7,5,8,8,6,8,8,6,2,5,5,8,7,3,5, F,0,31, Some College/University,4, a few times a year,1
24607, Liberal,2,8,7,5,2,8,6,8,5,8,8,1,1,1,7,6,7,5,1,5,3,1,1,8,8,1,6, M,1,33, Completed College/University,6, 99,
24633, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,1,1,8,8,8,8,8,1,1,1,1,8,8,8,8,8, M,1,29, Completed College/University,6, Never,0
24635, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,4,1,4,8,1,8,8,1,8,8,1,1,6,6,6,8, F,0,25, Completed Graduate/Professional Degree,9, a few times a year,1
24696, Don't know/not political,,2,4,2,2,8,3,6,6,6,8,2,6,3,7,6,7,8,4,5,1,4,8,8,8,7,6, M,1,19, Currently in College,5, Never,0
24732, Liberal,2,8,8,8,1,8,5,8,6,8,8,6,1,5,8,7,5,8,8,8,4,1,7,6,8,1,8, F,0,48, Some College/University,4, Never,0
24734, Conservative,6,4,5,3,2,5,4,5,5,3,6,3,3,4,6,7,6,6,3,5,1,2,2,5,7,4,5, M,1,51, Completed College/University,6, Never,0
24744, Slightly Liberal,3,8,8,5,2,6,1,8,5,8,8,3,1,8,6,1,4,5,1,2,1,1,8,8,7,1,8, F,0,25, Currently in College,5, Never,0
24749, Very Liberal,1,8,8,8,6,8,7,8,8,8,8,1,1,8,8,1,7,8,1,8,7,1,7,8,8,1,8, F,0,38, Completed Graduate/Professional Degree,9, Never,0
24751, Moderate/middle-of-the-road,4,6,7,7,1,7,4,7,5,8,8,7,1,1,8,7,6,8,1,1,5,1,1,6,8,1,7, M,1,45, Some College/University,4, Never,0
24754, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,5,3,8,8,1,8, M,1,36, Completed College/University,6, one or more times each week,3
24760, Moderate/middle-of-the-road,4,8,8,7,7,8,8,8,8,8,8,4,8,8,8,7,7,7,3,8,7,5,4,8,7,8,7, M,1,34, Completed Graduate/Professional Degree,9, a few times a month,2
24762, Liberal,2,5,5,5,2,6,3,8,3,5,8,4,4,3,7,7,5,8,2,4,4,2,4,7,8,6,7, F,0,21, Currently in College,5, Never,0
24768, Liberal,2,8,8,8,3,8,4,6,6,7,8,3,2,3,8,6,5,8,1,6,5,4,3,5,8,1,6, F,0,25, Currently in Graduate/Professional Sch,, Never,0
24770, Liberal,2,8,7,6,4,6,4,5,5,7,6,2,4,5,8,7,6,5,2,4,1,1,5,6,8,6,7, F,0,24, Completed Graduate/Professional Degree,9, Never,0
24793, Slightly Liberal,3,6,6,6,3,5,6,6,6,8,7,2,2,5,8,7,5,6,2,5,4,2,2,4,8,1,6, M,1,58, Completed Graduate/Professional Degree,9, Never,0
24800, Slightly Liberal,3,8,8,5,6,,4,8,6,6,8,3,4,7,8,6,7,8,4,5,5,3,8,8,8,8,8, F,0,58, Completed Graduate/Professional Degree,9, Never,0
24803, Moderate/middle-of-the-road,4,8,8,8,8,8,8,8,8,8,8,3,8,7,6,7,8,8,5,8,8,1,8,8,8,1,8, F,0,27, Currently in Graduate/Professional Sch,, 99,
24805, Don't know/not political,,8,8,8,4,8,1,8,3,5,8,3,8,4,5,5,5,1,8,4,3,1,8,8,8,8,8, F,0,21, Currently in College,5, a few times a year,1
24815, Liberal,2,8,8,8,6,8,6,8,8,7,7,1,1,5,8,8,8,8,1,8,1,1,1,8,8,5,6, M,1,37, Completed Graduate/Professional Degree,9, Never,0
24818, Liberal,2,7,7,8,5,7,7,8,4,8,8,3,1,4,8,1,6,5,1,6,2,3,2,5,6,1,3, F,0,28, Completed Graduate/Professional Degree,9, Never,0
24826, Moderate/middle-of-the-road,4,7,8,5,1,8,8,6,4,8,8,1,3,6,8,7,6,6,3,3,3,1,3,6,7,1,6, M,1,44, Some College/University,4, Never,0
24857, Very Liberal,1,8,8,3,1,6,4,6,4,4,8,1,3,5,8,8,4,8,1,6,4,1,1,5,8,1,6, F,0,37, Completed Graduate/Professional Degree,9, Never,0
24870, Liberal,2,6,6,8,5,8,5,8,5,8,8,4,4,7,5,5,5,8,1,,3,4,1,8,7,4,5, M,1,37, Some College/University,4, Never,0
24878, Liberal,2,8,8,8,1,8,7,8,8,8,8,1,8,8,8,8,7,8,1,7,8,8,1,8,8,8,1, M,1,20, Currently in College,5, Never,0
24881, Conservative,6,8,8,8,4,8,6,8,4,8,8,3,8,8,8,8,8,8,4,5,6,4,8,8,8,8,8, M,1,35, Completed Graduate/Professional Degree,9, Never,0
24885, Liberal,2,5,7,5,4,6,8,6,5,6,7,4,4,6,6,7,5,6,4,5,1,3,1,6,6,5,5, F,0,40, Completed Graduate/Professional Degree,9, Never,0
24891, Moderate/middle-of-the-road,4,8,8,1,1,8,1,8,5,6,8,1,1,1,8,7,6,1,1,1,1,1,1,7,8,1,1, M,1,128, Completed College/University,6, Never,0
24903, Liberal,2,7,5,1,4,4,3,5,4,1,5,4,4,4,6,7,7,1,3,1,1,1,6,7,7,5,5, M,1,29, Completed Graduate/Professional Degree,9, Never,0
24910, Libertarian,,5,6,4,3,3,2,5,4,6,7,1,1,2,4,1,5,5,2,1,3,1,1,5,6,1,5, M,1,30, Completed College/University,6, Never,0
24914, Liberal,2,8,7,6,1,8,5,8,6,8,8,1,1,6,6,1,6,5,1,1,4,1,1,5,8,1,6, M,1,58, Completed Graduate/Professional Degree,9, Never,0
24915, Libertarian,,4,8,3,2,7,5,8,5,7,8,1,1,5,8,1,7,7,1,3,1,3,4,5,7,2,4, M,1,25, Completed Graduate/Professional Degree,9, Never,0
24925, Slightly Liberal,3,8,8,8,1,8,6,8,8,8,8,1,1,8,8,8,8,8,1,1,1,1,1,8,7,1,5, M,1,36, Some College/University,4, Never,0
24926, Conservative,6,5,8,8,4,8,4,8,4,1,8,1,3,4,8,7,7,5,1,1,5,4,8,8,7,5,7, M,1,44, Completed College/University,6, a few times a month,2
24927, Liberal,2,8,8,8,8,8,1,8,7,8,8,1,8,8,8,1,7,8,8,8,1,8,1,8,8,8,1, F,0,32, Completed Graduate/Professional Degree,9, a few times a year,1
24929, Liberal,2,8,8,8,8,8,8,8,4,8,8,1,1,1,1,1,8,8,1,1,1,1,8,4,8,1,8, M,1,46, Completed College/University,6, Never,0
24931, Slightly Conservative,5,1,8,1,1,8,8,8,1,8,8,1,1,8,6,1,1,1,1,8,8,1,1,8,8,8,8, F,0,48, Some College/University,4, one or more times each week,3
24934, Moderate/middle-of-the-road,4,8,8,8,3,8,8,8,8,8,8,1,4,8,8,7,8,8,2,8,6,1,3,7,8,4,6, M,1,48, Completed College/University,6, Never,0
24935, Moderate/middle-of-the-road,4,8,8,8,4,8,8,8,5,8,8,4,1,5,8,7,7,8,1,7,6,1,7,8,7,6,6, M,1,31, Completed Graduate/Professional Degree,9, a few times a year,1
24938, Liberal,2,6,6,5,5,8,6,8,6,8,8,8,1,3,7,3,6,5,1,4,1,1,1,3,5,1,6, M,1,31, Some College/University,4, Never,0
24939, Libertarian,,5,1,4,3,4,3,8,6,6,7,4,3,4,7,7,5,5,1,7,4,1,7,1,6,1,7, M,1,24, Currently in College,5, Never,0
24940, Moderate/middle-of-the-road,4,8,8,8,7,8,8,8,8,8,8,1,7,8,8,1,8,8,8,8,8,8,8,8,8,7,8, M,1,58, Completed Graduate/Professional Degree,9, a few times a year,1
24942, Very Liberal,1,8,8,8,1,8,8,8,8,8,8,1,1,8,1,1,1,8,1,1,1,1,8,8,8,1,8, M,1,41, Some College/University,4, Never,0
24950, Liberal,2,7,7,6,3,6,8,8,4,8,8,1,3,4,8,5,7,8,2,5,4,2,3,8,8,1,4, F,0,25, Completed College/University,6, Never,0
24962, Libertarian,,3,1,4,1,5,8,8,4,8,5,1,1,8,6,1,4,1,1,1,1,1,8,8,8,1,5, M,1,27, Completed College/University,6, a few times a year,1
24965, Libertarian,,5,6,8,2,8,3,8,5,8,7,3,4,4,7,7,7,5,3,6,6,1,8,4,8,1,7, M,1,24, Currently in Graduate/Professional Sch,, a few times a month,2
24969, Conservative,6,8,8,8,1,8,8,8,8,8,8,4,4,7,8,7,8,8,4,8,7,2,8,5,8,5,8, F,0,27, Some Graduate/Professional School,7, one or more times each week,3
24971, Slightly Liberal,3,8,8,8,8,8,5,8,5,8,8,4,6,6,8,7,6,8,5,7,1,1,8,8,8,6,8, M,1,42, Completed Graduate/Professional Degree,9, one or more times each week,3
24980, Slightly Conservative,5,8,5,5,1,8,8,8,5,8,8,3,4,8,8,7,5,8,3,7,8,1,3,8,8,1,6, F,0,36, Completed Graduate/Professional Degree,9, Never,0
24982, Libertarian,,2,5,8,1,5,3,8,6,7,8,2,2,2,8,7,8,8,2,6,1,1,1,2,7,1,5, M,1,32, Completed Graduate/Professional Degree,9, a few times a month,2
24989, Don't know/not political,,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,1,3,8,8,8,8,8,8,8, F,0,19, Currently in High School,2, a few times a year,1
24991, Slightly Liberal,3,8,8,8,7,8,8,8,8,8,8,1,8,8,8,8,1,8,8,8,8,1,8,8,8,1,8, F,0,54, Completed Graduate/Professional Degree,9, a few times a year,1
24994, Other,,8,8,6,4,8,5,8,5,8,8,5,4,7,8,7,6,8,3,4,1,4,8,8,7,1,8, F,0,50, Completed Graduate/Professional Degree,9, Never,0
24996, Libertarian,,6,7,4,2,6,5,7,4,6,8,3,2,2,7,7,8,4,2,6,4,3,2,3,8,2,5, M,1,31, Completed Graduate/Professional Degree,9, Never,0
25005, Libertarian,,8,5,6,1,8,6,8,5,7,8,1,6,5,8,8,6,8,5,5,1,1,1,8,6,8,8, F,0,54, Completed College/University,6, Never,0
25006, Liberal,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,1,8, F,0,44, Completed Graduate/Professional Degree,9, Never,0
25008, Conservative,6,8,8,8,4,8,8,8,5,8,8,4,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8, M,1,24, Completed Graduate/Professional Degree,9, one or more times each week,3
25010, Very Liberal,1,8,7,6,1,7,5,8,5,5,8,1,2,3,8,7,6,6,1,8,5,1,2,6,8,1,8, M,1,31, Completed Graduate/Professional Degree,9, Never,0
25021, Slightly Liberal,3,6,5,5,3,6,5,7,5,6,7,2,3,4,7,7,7,6,1,4,4,1,1,5,7,4,4, M,1,35, Completed Graduate/Professional Degree,9, a few times a year,1
25035, Conservative,6,8,8,8,4,8,8,8,5,8,8,1,6,7,7,8,6,8,4,6,3,4,8,8,8,8,8, F,0,44, Some College/University,4, Never,0
25044, Conservative,6,8,8,8,1,8,5,8,,8,8,2,7,5,8,7,7,8,3,7,5,1,8,8,8,1,7, M,1,34, Completed Graduate/Professional Degree,9, one or more times each week,3
25052, Moderate/middle-of-the-road,4,8,8,8,4,8,8,8,7,8,8,6,1,8,8,7,8,8,7,1,3,1,8,8,8,1,8, F,0,35, Completed Graduate/Professional Degree,9, Never,0
25068, Conservative,6,8,1,3,1,8,2,3,3,5,1,2,4,5,7,7,6,6,5,5,6,2,1,8,8,6,5, M,1,21, Currently in College,5, Never,0
25069, Conservative,6,8,5,4,1,8,1,5,8,8,1,4,8,4,8,8,8,8,4,4,1,1,8,8,8,8,8, M,1,21, Currently in Graduate/Professional Sch,, a few times a year,1
25076, Slightly Conservative,5,8,7,7,4,8,8,8,5,8,7,5,5,6,8,8,6,8,5,7,4,1,8,6,8,4,7, M,1,39, Completed Graduate/Professional Degree,9, a few times a year,1
25079, Liberal,2,1,4,4,2,6,3,5,5,3,6,4,3,5,7,6,6,7,3,6,1,4,4,4,6,4,4, M,1,61, Some Graduate/Professional School,7, Never,0
25090, Very Liberal,1,4,6,5,1,8,4,5,6,8,8,1,1,3,5,6,5,6,1,4,4,1,1,4,8,1,1, M,1,52, Completed Graduate/Professional Degree,9, Never,0
25098, Liberal,2,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8, F,0,84, Completed Graduate/Professional Degree,9, Never,0
25106, Liberal,2,8,8,8,7,8,8,8,8,8,8,1,1,8,7,1,,8,1,1,1,8,1,8,8,7,8, M,1,28, Some College/University,4, Never,0
25109, Conservative,6,8,8,8,3,8,7,8,6,8,8,8,8,6,8,7,7,8,6,8,5,7,8,8,8,8,8, F,0,39, Some College/University,4, one or more times each week,3
25110, Moderate/middle-of-the-road,4,8,8,6,3,8,4,5,6,8,8,1,1,4,8,1,5,6,1,3,1,1,1,7,1,5,, M,1,35, Some College/University,4, Never,0
25123, Other,,8,8,8,1,8,8,8,8,8,8,1,1,1,8,8,1,8,1,2,8,1,1,5,8,1,1, M,1,44, Completed Graduate/Professional Degree,9, Never,0
25131, Moderate/middle-of-the-road,4,7,5,6,5,6,4,7,5,5,6,2,3,4,6,3,5,4,2,4,1,3,3,7,5,1,6, F,0,64, Some College/University,4, Never,0
25153, Liberal,2,8,8,8,1,8,3,8,4,7,8,1,4,4,8,6,6,7,5,4,1,4,1,8,8,6,8, F,0,23, Currently in Graduate/Professional Sch,, Never,0
25154, Very Liberal,1,6,8,8,3,6,5,8,4,8,8,5,1,3,8,1,6,6,1,7,1,1,1,8,7,4,3, F,0,25, Currently in Graduate/Professional Sch,, a few times a year,1
25155, Very Liberal,1,8,8,8,1,8,3,8,1,8,8,1,1,1,8,1,1,8,1,1,1,8,1,8,8,1,8, F,0,43, Completed College/University,6, Never,0
25159, Very Liberal,1,8,8,8,1,8,8,8,4,8,8,1,1,3,6,6,5,8,5,1,1,1,8,8,8,1,7, F,0,52, Currently in College,5, Never,0
25160, Slightly Liberal,3,8,8,6,1,8,5,8,4,6,8,4,5,3,6,7,7,8,3,4,5,1,1,8,8,3,8, F,0,26, Completed Graduate/Professional Degree,9, Never,0
25163, Moderate/middle-of-the-road,4,8,,8,1,8,8,8,8,8,8,4,8,8,8,8,6,8,3,8,4,1,1,8,7,1,4, F,0,59, Completed Graduate/Professional Degree,9, a few times a year,1
25165, Liberal,2,6,8,4,3,1,5,6,5,7,7,2,1,1,7,7,7,1,1,6,5,1,1,8,7,1,7, M,1,20, Currently in College,5, Never,0
25170, Slightly Liberal,3,8,6,4,1,7,3,6,3,7,7,1,3,4,7,6,7,7,1,1,1,1,4,8,6,1,6, M,1,25, Completed College/University,6, Never,0
25171, Libertarian,,8,7,6,2,8,1,8,4,7,8,1,5,3,7,7,6,4,3,6,4,1,8,6,7,1,8, M,1,20, Currently in College,5, a few times a year,1
25177, Slightly Conservative,5,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,1,8,7,8,7,8, M,1,56, Completed High School,3, a few times a year,1
25178, Very Liberal,1,8,8,8,3,8,8,8,8,8,8,1,1,5,8,6,4,8,2,2,4,3,2,4,6,1,3, M,1,48, Completed College/University,6, Never,0
25197, Liberal,2,8,8,8,5,8,8,8,8,8,8,1,1,8,8,1,8,8,1,1,8,1,1,8,8,1,8, M,1,54, Completed Graduate/Professional Degree,9, Never,0
25209, Liberal,2,8,8,8,6,8,6,8,7,8,8,4,5,7,8,8,5,8,3,8,8,6,1,8,8,1,7, F,0,25, Currently in Graduate/Professional Sch,, Never,0
25226, Libertarian,,8,8,8,1,8,3,7,6,7,8,1,5,2,8,6,7,8,1,7,1,1,8,1,7,1,7, F,0,24, Completed College/University,6, Never,0
25233, Liberal,2,8,8,5,7,1,1,8,8,8,8,8,8,8,7,7,5,8,3,1,1,4,5,8,8,1,5, F,0,35, Completed Graduate/Professional Degree,9, a few times a year,1
25250, Liberal,2,1,7,1,1,7,1,1,7,1,7,2,1,7,7,7,7,7,7,1,7,1,7,1,8,7,7, M,1,34, Completed Graduate/Professional Degree,9, Never,0
25259, Very Liberal,1,6,8,3,1,4,3,8,4,7,7,1,1,1,7,1,5,5,1,2,1,1,1,8,8,1,6, F,0,26, Some Graduate/Professional School,7, one or more times each week,3
25287, Liberal,2,8,8,8,3,8,8,8,8,8,8,1,2,4,6,5,6,4,2,5,2,3,1,3,5,1,7, F,0,26, Completed Graduate/Professional Degree,9, Never,0
25305, Liberal,2,8,8,7,4,8,5,8,6,4,8,2,2,3,7,7,8,7,1,4,1,1,2,7,7,4,7, M,1,25, Completed High School,3, Never,0
25309, Liberal,2,8,8,4,3,6,8,8,4,8,8,1,3,5,8,7,7,4,1,1,1,1,1,8,7,1,6, M,1,34, Completed College/University,6, a few times a year,1
25326, Liberal,2,7,7,5,3,8,5,7,6,8,7,4,5,5,5,7,6,7,6,3,6,4,7,7,7,4,6, M,1,71, Completed College/University,6, Never,0
25334, Liberal,2,8,6,7,8,8,5,8,8,8,5,7,8,8,8,7,8,8,8,8,5,7,8,8,8,8,8, F,0,22, Currently in College,5, a few times a year,1
25336, Very Liberal,1,5,7,5,3,5,3,4,4,1,6,1,1,3,6,5,6,5,1,1,1,2,5,5,5,4,3, F,0,36, Completed Graduate/Professional Degree,9, Never,0
25342, Slightly Liberal,3,6,6,6,3,7,5,7,6,6,7,3,6,5,8,7,5,7,3,3,3,4,8,7,7,7,4, M,1,31, Completed College/University,6, a few times a year,1
25343, Very Liberal,1,7,8,4,1,8,4,8,2,8,8,2,2,5,6,3,5,5,1,3,3,1,1,7,7,3,4, M,1,20, Currently in College,5, Never,0
25350, Very Liberal,1,7,7,6,1,5,3,6,5,7,8,2,1,3,8,8,5,5,1,5,1,1,4,8,7,8,6, F,0,18, Currently in High School,2, Never,0
25352, Slightly Conservative,5,8,8,6,3,8,3,8,1,7,8,4,8,6,6,7,8,7,7,6,1,3,8,8,7,1,7, F,0,19, Currently in High School,2, a few times a month,2
25354, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,4,2,5,8,8,6,8,2,1,1,8,8,8,7,3,5, M,1,35, Some College/University,4, Never,0
25355, Slightly Conservative,5,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,8,8,8,8,8, F,0,19, Currently in High School,2, one or more times each week,3
25363, Libertarian,,1,1,1,1,8,1,1,1,1,1,1,1,1,8,1,1,8,1,1,1,8,8,1,8,1,8, M,1,64, Completed Graduate/Professional Degree,9, Never,0
25377, Libertarian,,6,5,3,2,5,3,4,3,5,5,2,2,3,7,7,3,6,2,3,1,2,2,4,6,3,4, M,1,38, Currently in Graduate/Professional Sch,, Never,0
25381, Slightly Liberal,3,5,4,1,1,6,1,1,1,1,1,1,1,1,8,1,5,8,1,1,1,1,1,6,7,5,5, M,1,35, Some High School,1, Never,0
25384, Very Liberal,1,4,6,4,2,4,8,8,4,8,8,1,2,3,5,7,7,6,1,4,4,1,1,5,8,1,5, M,1,21, Currently in College,5, Never,0
25386, Don't know/not political,,8,8,8,8,8,8,8,2,8,8,4,8,8,8,8,7,8,8,8,8,5,1,8,8,1,7, F,0,50, Some Graduate/Professional School,7, Never,0
25393, Libertarian,,8,8,8,1,8,6,8,4,1,7,1,3,6,5,7,5,8,4,1,1,4,2,8,7,8,6, M,1,46, Some College/University,4, Never,0
25395, Other,,8,8,8,8,8,8,8,8,1,8,8,1,8,8,1,8,8,1,1,1,8,8,8,8,1,8, F,0,51, Completed Graduate/Professional Degree,9, Never,0
25397, Liberal,2,7,7,7,3,6,5,7,6,3,6,3,3,4,8,7,6,7,3,6,4,4,1,6,8,1,8, F,0,59, Some Graduate/Professional School,7, Never,0
25404, Slightly Liberal,3,8,7,8,4,8,8,8,6,8,8,8,6,8,8,7,7,8,7,8,8,3,8,8,8,5,8, M,1,27, Some Graduate/Professional School,7, a few times a year,1
25405, Other,,6,8,6,3,6,5,8,4,8,8,3,2,5,4,6,6,1,2,6,1,1,1,6,8,4,8, M,1,35, Completed Graduate/Professional Degree,9, Never,0
25410, Moderate/middle-of-the-road,4,8,8,8,7,8,8,8,8,8,8,1,7,7,8,8,8,8,7,8,8,8,7,8,8,7,6, M,1,45, Some Graduate/Professional School,7, one or more times each week,3
25423, Liberal,2,8,8,8,3,8,6,8,4,8,8,6,2,5,8,5,8,2,2,3,1,1,8,1,1,1,5, M,1,19, Completed High School,3, a few times a year,1
25424, Liberal,2,8,8,3,3,4,1,8,4,8,5,2,1,4,6,1,8,5,2,3,1,1,1,3,6,1,4, M,1,24, Completed College/University,6, a few times a year,1
25425, Liberal,2,8,8,8,8,8,6,8,8,7,8,4,8,4,7,7,8,2,7,5,1,1,1,8,8,5,8, F,0,19, No Answer,, 99,
25428, Moderate/middle-of-the-road,4,8,8,8,8,8,8,8,8,8,8,,,8,8,7,7,8,1,8,8,1,8,8,8,1,8, F,0,62, Completed Graduate/Professional Degree,9, one or more times each week,3
25451, Very Liberal,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8, M,1,56, Completed College/University,6, Never,0
